name,affiliation,address
Thames International College,Tribhuvan University,"Surya Bikram Gyawali Marg, Old Baneshwor, Kathmandu"
Texas College of Management and IT,Lincoln University College,"Siphal, Kathmandu"
Ace Institute of Management,Pokhara University,"Bibhuti Janak Marg, New Baneshwor, Kathmandu"
NCTTM - IST College,Tribhuvan University,"Gyaneshwor, Opposite to German Embassy, Kathmandu"
Kathford International College of Engineering and Management,Tribhuvan University,"Balkumari, Lalitpur"
Nepal College of Information Technology (NCIT),Pokhara University,"Balkumari, Lalitpur"
Padmashree College,"Tribhuvan University, Nilai University, Malaysia","Tinkune, Kathmandu"
Liberty College,Pokhara University,"Pragati Marg-2, Anamnagar, Kathmandu"
Certified College of Accountancy (CCA),ACCA,"Thapagaun, New Baneshwor, Kathmandu"
Janamaitri Multiple Campus,"National Examinations Board, Tribhuvan University","Kuleshwor, Kathmandu"
Silver Mountain School of Hotel Management,"Queen Margaret University (UK), American Hospitality Academy, USA","Lainchaur, Kathmandu"
Global College of Management,"National Examinations Board, Tribhuvan University","Mid-Baneshwor, Kathmandu"
People's Campus,"National Examinations Board, Tribhuvan University","Paknajol, Kathmandu"
NAMI College,"National Examinations Board, Cambridge GCE A Levels, University of Northampton, UK","Gokarneshwor-7, Jorpati, Gokarneshwar, Kathmandu"
SAIM College,Pokhara University,"Old Baneswor Chowk, Kathmandu"
Kathmandu Don Bosco College,Purbanchal University,"Lazimpat, (North to Hotel Radisson), Kathmandu"
Public Youth Campus,Tribhuvan University,"Dhobichaur, Kathmandu"
Prime College,Tribhuvan University,"Naya Bazar, Khusibu, Kathmandu"
KIST College & SS,"National Examinations Board, Tribhuvan University, Purbanchal University","Kamalpokhari, Kathmandu"
Nepal Mega College,"National Examinations Board, Tribhuvan University","Babarmahal, Kathmandu"
Tribhuvan University School of Management  (SOMTU),Tribhuvan University,"Kirtipur, Kathmandu"
Kantipur College of Management and Information Technology,Tribhuvan University,"Mid Baneshwor, Kathmandu"
The British College,"ACCA, Cambridge GCE A Levels, Leeds Beckett University, UK, University of the West of England, UK, Keele University","Trade Tower, Thapathali, Kathmandu"
Softwarica College of IT and E-commerce,"Coventry University, UK","Dillibazar, Kathmandu"
